Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
reiseaktivitat_state_9,anamnese_risikofaktoren,,dropdown,"<div align=""right"">Bundesland</div>","urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BW,Baden-Württemberg | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BY,Bayern | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BE,Berlin | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BB,Brandenburg | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-HB,Bremen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-HH,Hamburg | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-HE,Hessen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-MV,Mecklenburg-Vorpommern | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-NI,Niedersachsen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-NW,Nordrhein-Westfalen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-RP,Rheinland-Pfalz | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-SL,Saarland | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-SN,Sachsen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-ST,Sachsen-Anhalt | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-SH,Schleswig-Holstein | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-TH,Thüringen",,,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_country_9] = ""urnCOLONisoCOLONstdCOLONisoCOLON3166_DE""",,RV,,,,
reiseaktivitat_city_9,anamnese_risikofaktoren,,text,"<div align=""right"">Stadt</div>",,,,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_state_9] <> """"",,RV,,,,
reiseaktivitat_end_date_9,anamnese_risikofaktoren,,text,"<div align=""right"">Enddatum der Reise</div>",,DD-MM-YYYY,date_dmy,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_country_8] <> """"",,RV,,,,
reiseaktivitat_start_date_10,anamnese_risikofaktoren,"<div style=""padding-left: 6em"">Reise 10</div>",text,"<div align=""right"">Startdatum der Reise</div>",,DD-MM-YYYY,date_dmy,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_country_9] <> """"",,RV,,,,
reiseaktivitat_country_10,anamnese_risikofaktoren,,dropdown,"<div align=""right"">Land</div>","urnCOLONisoCOLONstdCOLONisoCOLON3166_AF,Afghanistan | urnCOLONisoCOLONstdCOLONisoCOLON3166_EG,Ägypten | urnCOLONisoCOLONstdCOLONisoCOLON3166_AX,Ålandinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_AL,Albanien | urnCOLONisoCOLONstdCOLONisoCOLON3166_DZ,Algerien | urnCOLONisoCOLONstdCOLONisoCOLON3166_VI,Amerikanische Jungferninseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_UM,Amerikanische Überseeinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_AS,Amerikanisch-Samoa | urnCOLONisoCOLONstdCOLONisoCOLON3166_AD,Andorra | urnCOLONisoCOLONstdCOLONisoCOLON3166_AO,Angola | urnCOLONisoCOLONstdCOLONisoCOLON3166_AI,Anguilla | urnCOLONisoCOLONstdCOLONisoCOLON3166_AQ,Antarktis | urnCOLONisoCOLONstdCOLONisoCOLON3166_AG,Antigua und Barbuda | urnCOLONisoCOLONstdCOLONisoCOLON3166_GQ,Äquatorialguinea | urnCOLONisoCOLONstdCOLONisoCOLON3166_AR,Argentinien | urnCOLONisoCOLONstdCOLONisoCOLON3166_AM,Armenien | urnCOLONisoCOLONstdCOLONisoCOLON3166_AW,Aruba | urnCOLONisoCOLONstdCOLONisoCOLON3166_AZ,Aserbaidschan | urnCOLONisoCOLONstdCOLONisoCOLON3166_ET,Äthiopien | urnCOLONisoCOLONstdCOLONisoCOLON3166_AU,Australien | urnCOLONisoCOLONstdCOLONisoCOLON3166_BS,Bahamas | urnCOLONisoCOLONstdCOLONisoCOLON3166_BH,Bahrain | urnCOLONisoCOLONstdCOLONisoCOLON3166_BD,Bangladesch | urnCOLONisoCOLONstdCOLONisoCOLON3166_BB,Barbados | urnCOLONisoCOLONstdCOLONisoCOLON3166_BY,Belarus | urnCOLONisoCOLONstdCOLONisoCOLON3166_BE,Belgien | urnCOLONisoCOLONstdCOLONisoCOLON3166_BZ,Belize | urnCOLONisoCOLONstdCOLONisoCOLON3166_BJ,Benin | urnCOLONisoCOLONstdCOLONisoCOLON3166_BM,Bermuda | urnCOLONisoCOLONstdCOLONisoCOLON3166_BT,Bhutan | urnCOLONisoCOLONstdCOLONisoCOLON3166_BO,Bolivien | urnCOLONisoCOLONstdCOLONisoCOLON3166_BA,Bosnien und Herzegowina | urnCOLONisoCOLONstdCOLONisoCOLON3166_BW,Botsuana | urnCOLONisoCOLONstdCOLONisoCOLON3166_BV,Bouvetinsel | urnCOLONisoCOLONstdCOLONisoCOLON3166_BR,Brasilien | urnCOLONisoCOLONstdCOLONisoCOLON3166_VG,Britische Jungferninseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_IO,Britisches Territorium im Indischen Ozean | urnCOLONisoCOLONstdCOLONisoCOLON3166_BN,Brunei Darussalam | urnCOLONisoCOLONstdCOLONisoCOLON3166_BG,Bulgarien | urnCOLONisoCOLONstdCOLONisoCOLON3166_BF,Burkina Faso | urnCOLONisoCOLONstdCOLONisoCOLON3166_BI,Burundi | urnCOLONisoCOLONstdCOLONisoCOLON3166_CV,Cabo Verde | urnCOLONisoCOLONstdCOLONisoCOLON3166_CL,Chile | urnCOLONisoCOLONstdCOLONisoCOLON3166_CN,China | urnCOLONisoCOLONstdCOLONisoCOLON3166_CK,Cookinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_CR,Costa Rica | urnCOLONisoCOLONstdCOLONisoCOLON3166_CI,Côte d’Ivoire | urnCOLONisoCOLONstdCOLONisoCOLON3166_CW,Curaçao | urnCOLONisoCOLONstdCOLONisoCOLON3166_DK,Dänemark | urnCOLONisoCOLONstdCOLONisoCOLON3166_DE,Deutschland | urnCOLONisoCOLONstdCOLONisoCOLON3166_DM,Dominica | urnCOLONisoCOLONstdCOLONisoCOLON3166_DO,Dominikanische Republik | urnCOLONisoCOLONstdCOLONisoCOLON3166_DJ,Dschibuti | urnCOLONisoCOLONstdCOLONisoCOLON3166_EC,Ecuador | urnCOLONisoCOLONstdCOLONisoCOLON3166_SV,El Salvador | urnCOLONisoCOLONstdCOLONisoCOLON3166_ER,Eritrea | urnCOLONisoCOLONstdCOLONisoCOLON3166_EE,Estland | urnCOLONisoCOLONstdCOLONisoCOLON3166_SZ,Eswatini | urnCOLONisoCOLONstdCOLONisoCOLON3166_FK,Falklandinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_FO,Färöer | urnCOLONisoCOLONstdCOLONisoCOLON3166_FJ,Fidschi | urnCOLONisoCOLONstdCOLONisoCOLON3166_FI,Finnland | urnCOLONisoCOLONstdCOLONisoCOLON3166_FR,Frankreich | urnCOLONisoCOLONstdCOLONisoCOLON3166_TF,Französische Süd- und Antarktisgebiete | urnCOLONisoCOLONstdCOLONisoCOLON3166_GF,Französisch-Guayana | urnCOLONisoCOLONstdCOLONisoCOLON3166_PF,Französisch-Polynesien | urnCOLONisoCOLONstdCOLONisoCOLON3166_GA,Gabun | urnCOLONisoCOLONstdCOLONisoCOLON3166_GM,Gambia | urnCOLONisoCOLONstdCOLONisoCOLON3166_GE,Georgien | urnCOLONisoCOLONstdCOLONisoCOLON3166_GH,Ghana | urnCOLONisoCOLONstdCOLONisoCOLON3166_GI,Gibraltar | urnCOLONisoCOLONstdCOLONisoCOLON3166_GD,Grenada | urnCOLONisoCOLONstdCOLONisoCOLON3166_GR,Griechenland | urnCOLONisoCOLONstdCOLONisoCOLON3166_GL,Grönland | urnCOLONisoCOLONstdCOLONisoCOLON3166_GP,Guadeloupe | urnCOLONisoCOLONstdCOLONisoCOLON3166_GU,Guam | urnCOLONisoCOLONstdCOLONisoCOLON3166_GT,Guatemala | urnCOLONisoCOLONstdCOLONisoCOLON3166_GG,Guernsey | urnCOLONisoCOLONstdCOLONisoCOLON3166_GN,Guinea | urnCOLONisoCOLONstdCOLONisoCOLON3166_GW,Guinea-Bissau | urnCOLONisoCOLONstdCOLONisoCOLON3166_GY,Guyana | urnCOLONisoCOLONstdCOLONisoCOLON3166_HT,Haiti | urnCOLONisoCOLONstdCOLONisoCOLON3166_HM,Heard und McDonaldinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_HN,Honduras | urnCOLONisoCOLONstdCOLONisoCOLON3166_IN,Indien | urnCOLONisoCOLONstdCOLONisoCOLON3166_ID,Indonesien | urnCOLONisoCOLONstdCOLONisoCOLON3166_IQ,Irak | urnCOLONisoCOLONstdCOLONisoCOLON3166_IR,Iran | urnCOLONisoCOLONstdCOLONisoCOLON3166_IE,Irland | urnCOLONisoCOLONstdCOLONisoCOLON3166_IS,Island | urnCOLONisoCOLONstdCOLONisoCOLON3166_IM,Isle of Man | urnCOLONisoCOLONstdCOLONisoCOLON3166_IL,Israel | urnCOLONisoCOLONstdCOLONisoCOLON3166_IT,Italien | urnCOLONisoCOLONstdCOLONisoCOLON3166_JM,Jamaika | urnCOLONisoCOLONstdCOLONisoCOLON3166_JP,Japan | urnCOLONisoCOLONstdCOLONisoCOLON3166_YE,Jemen | urnCOLONisoCOLONstdCOLONisoCOLON3166_JE,Jersey | urnCOLONisoCOLONstdCOLONisoCOLON3166_JO,Jordanien | urnCOLONisoCOLONstdCOLONisoCOLON3166_KY,Kaimaninseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_KH,Kambodscha | urnCOLONisoCOLONstdCOLONisoCOLON3166_CM,Kamerun | urnCOLONisoCOLONstdCOLONisoCOLON3166_CA,Kanada | urnCOLONisoCOLONstdCOLONisoCOLON3166_BQ,Karibische Niederlande | urnCOLONisoCOLONstdCOLONisoCOLON3166_KZ,Kasachstan | urnCOLONisoCOLONstdCOLONisoCOLON3166_QA,Katar | urnCOLONisoCOLONstdCOLONisoCOLON3166_KE,Kenia | urnCOLONisoCOLONstdCOLONisoCOLON3166_KG,Kirgisistan | urnCOLONisoCOLONstdCOLONisoCOLON3166_KI,Kiribati | urnCOLONisoCOLONstdCOLONisoCOLON3166_CC,Kokosinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_CO,Kolumbien | urnCOLONisoCOLONstdCOLONisoCOLON3166_KM,Komoren | urnCOLONisoCOLONstdCOLONisoCOLON3166_CG,Kongo-Brazzaville | urnCOLONisoCOLONstdCOLONisoCOLON3166_CD,Kongo-Kinshasa | urnCOLONisoCOLONstdCOLONisoCOLON3166_HR,Kroatien | urnCOLONisoCOLONstdCOLONisoCOLON3166_CU,Kuba | urnCOLONisoCOLONstdCOLONisoCOLON3166_KW,Kuwait | urnCOLONisoCOLONstdCOLONisoCOLON3166_LA,Laos | urnCOLONisoCOLONstdCOLONisoCOLON3166_LS,Lesotho | urnCOLONisoCOLONstdCOLONisoCOLON3166_LV,Lettland | urnCOLONisoCOLONstdCOLONisoCOLON3166_LB,Libanon | urnCOLONisoCOLONstdCOLONisoCOLON3166_LR,Liberia | urnCOLONisoCOLONstdCOLONisoCOLON3166_LY,Libyen | urnCOLONisoCOLONstdCOLONisoCOLON3166_LI,Liechtenstein | urnCOLONisoCOLONstdCOLONisoCOLON3166_LT,Litauen | urnCOLONisoCOLONstdCOLONisoCOLON3166_LU,Luxemburg | urnCOLONisoCOLONstdCOLONisoCOLON3166_MG,Madagaskar | urnCOLONisoCOLONstdCOLONisoCOLON3166_MW,Malawi | urnCOLONisoCOLONstdCOLONisoCOLON3166_MY,Malaysia | urnCOLONisoCOLONstdCOLONisoCOLON3166_MV,Malediven | urnCOLONisoCOLONstdCOLONisoCOLON3166_ML,Mali | urnCOLONisoCOLONstdCOLONisoCOLON3166_MT,Malta | urnCOLONisoCOLONstdCOLONisoCOLON3166_MA,Marokko | urnCOLONisoCOLONstdCOLONisoCOLON3166_MH,Marshallinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_MQ,Martinique | urnCOLONisoCOLONstdCOLONisoCOLON3166_MR,Mauretanien | urnCOLONisoCOLONstdCOLONisoCOLON3166_MU,Mauritius | urnCOLONisoCOLONstdCOLONisoCOLON3166_YT,Mayotte | urnCOLONisoCOLONstdCOLONisoCOLON3166_MX,Mexiko | urnCOLONisoCOLONstdCOLONisoCOLON3166_FM,Mikronesien | urnCOLONisoCOLONstdCOLONisoCOLON3166_MC,Monaco | urnCOLONisoCOLONstdCOLONisoCOLON3166_MN,Mongolei | urnCOLONisoCOLONstdCOLONisoCOLON3166_ME,Montenegro | urnCOLONisoCOLONstdCOLONisoCOLON3166_MS,Montserrat | urnCOLONisoCOLONstdCOLONisoCOLON3166_MZ,Mosambik | urnCOLONisoCOLONstdCOLONisoCOLON3166_MM,Myanmar | urnCOLONisoCOLONstdCOLONisoCOLON3166_NA,Namibia | urnCOLONisoCOLONstdCOLONisoCOLON3166_NR,Nauru | urnCOLONisoCOLONstdCOLONisoCOLON3166_NP,Nepal | urnCOLONisoCOLONstdCOLONisoCOLON3166_NC,Neukaledonien | urnCOLONisoCOLONstdCOLONisoCOLON3166_NZ,Neuseeland | urnCOLONisoCOLONstdCOLONisoCOLON3166_NI,Nicaragua | urnCOLONisoCOLONstdCOLONisoCOLON3166_NL,Niederlande | urnCOLONisoCOLONstdCOLONisoCOLON3166_NE,Niger | urnCOLONisoCOLONstdCOLONisoCOLON3166_NG,Nigeria | urnCOLONisoCOLONstdCOLONisoCOLON3166_NU,Niue | urnCOLONisoCOLONstdCOLONisoCOLON3166_KP,Nordkorea | urnCOLONisoCOLONstdCOLONisoCOLON3166_MP,Nördliche Marianen | urnCOLONisoCOLONstdCOLONisoCOLON3166_MK,Nordmazedonien | urnCOLONisoCOLONstdCOLONisoCOLON3166_NF,Norfolkinsel | urnCOLONisoCOLONstdCOLONisoCOLON3166_NO,Norwegen | urnCOLONisoCOLONstdCOLONisoCOLON3166_OM,Oman | urnCOLONisoCOLONstdCOLONisoCOLON3166_AT,Österreich | urnCOLONisoCOLONstdCOLONisoCOLON3166_PK,Pakistan | urnCOLONisoCOLONstdCOLONisoCOLON3166_PS,Palästinensische Autonomiegebiete | urnCOLONisoCOLONstdCOLONisoCOLON3166_PW,Palau | urnCOLONisoCOLONstdCOLONisoCOLON3166_PA,Panama | urnCOLONisoCOLONstdCOLONisoCOLON3166_PG,Papua-Neuguinea | urnCOLONisoCOLONstdCOLONisoCOLON3166_PY,Paraguay | urnCOLONisoCOLONstdCOLONisoCOLON3166_PE,Peru | urnCOLONisoCOLONstdCOLONisoCOLON3166_PH,Philippinen | urnCOLONisoCOLONstdCOLONisoCOLON3166_PN,Pitcairninseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_PL,Polen | urnCOLONisoCOLONstdCOLONisoCOLON3166_PT,Portugal | urnCOLONisoCOLONstdCOLONisoCOLON3166_PR,Puerto Rico | urnCOLONisoCOLONstdCOLONisoCOLON3166_MD,Republik Moldau | urnCOLONisoCOLONstdCOLONisoCOLON3166_RE,Réunion | urnCOLONisoCOLONstdCOLONisoCOLON3166_RW,Ruanda | urnCOLONisoCOLONstdCOLONisoCOLON3166_RO,Rumänien | urnCOLONisoCOLONstdCOLONisoCOLON3166_RU,Russland | urnCOLONisoCOLONstdCOLONisoCOLON3166_SB,Salomonen | urnCOLONisoCOLONstdCOLONisoCOLON3166_ZM,Sambia | urnCOLONisoCOLONstdCOLONisoCOLON3166_WS,Samoa | urnCOLONisoCOLONstdCOLONisoCOLON3166_SM,San Marino | urnCOLONisoCOLONstdCOLONisoCOLON3166_ST,São Tomé und Príncipe | urnCOLONisoCOLONstdCOLONisoCOLON3166_SA,Saudi-Arabien | urnCOLONisoCOLONstdCOLONisoCOLON3166_SE,Schweden | urnCOLONisoCOLONstdCOLONisoCOLON3166_CH,Schweiz | urnCOLONisoCOLONstdCOLONisoCOLON3166_SN,Senegal | urnCOLONisoCOLONstdCOLONisoCOLON3166_RS,Serbien | urnCOLONisoCOLONstdCOLONisoCOLON3166_SC,Seychellen | urnCOLONisoCOLONstdCOLONisoCOLON3166_SL,Sierra Leone | urnCOLONisoCOLONstdCOLONisoCOLON3166_ZW,Simbabwe | urnCOLONisoCOLONstdCOLONisoCOLON3166_SG,Singapur | urnCOLONisoCOLONstdCOLONisoCOLON3166_SX,Sint Maarten | urnCOLONisoCOLONstdCOLONisoCOLON3166_SK,Slowakei | urnCOLONisoCOLONstdCOLONisoCOLON3166_SI,Slowenien | urnCOLONisoCOLONstdCOLONisoCOLON3166_SO,Somalia | urnCOLONisoCOLONstdCOLONisoCOLON3166_HK,Sonderverwaltungsregion Hongkong | urnCOLONisoCOLONstdCOLONisoCOLON3166_MO,Sonderverwaltungsregion Macau | urnCOLONisoCOLONstdCOLONisoCOLON3166_ES,Spanien | urnCOLONisoCOLONstdCOLONisoCOLON3166_SJ,Spitzbergen und Jan Mayen | urnCOLONisoCOLONstdCOLONisoCOLON3166_LK,Sri Lanka | urnCOLONisoCOLONstdCOLONisoCOLON3166_BL,St. Barthélemy | urnCOLONisoCOLONstdCOLONisoCOLON3166_SH,St. Helena | urnCOLONisoCOLONstdCOLONisoCOLON3166_KN,St. Kitts und Nevis | urnCOLONisoCOLONstdCOLONisoCOLON3166_LC,St. Lucia | urnCOLONisoCOLONstdCOLONisoCOLON3166_MF,St. Martin | urnCOLONisoCOLONstdCOLONisoCOLON3166_PM,St. Pierre und Miquelon | urnCOLONisoCOLONstdCOLONisoCOLON3166_VC,St. Vincent und die Grenadinen | urnCOLONisoCOLONstdCOLONisoCOLON3166_ZA,Südafrika | urnCOLONisoCOLONstdCOLONisoCOLON3166_SD,Sudan | urnCOLONisoCOLONstdCOLONisoCOLON3166_GS,Südgeorgien und die Südlichen Sandwichinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_KR,Südkorea | urnCOLONisoCOLONstdCOLONisoCOLON3166_SS,Südsudan | urnCOLONisoCOLONstdCOLONisoCOLON3166_SR,Suriname | urnCOLONisoCOLONstdCOLONisoCOLON3166_SY,Syrien | urnCOLONisoCOLONstdCOLONisoCOLON3166_TJ,Tadschikistan | urnCOLONisoCOLONstdCOLONisoCOLON3166_TW,Taiwan | urnCOLONisoCOLONstdCOLONisoCOLON3166_TZ,Tansania | urnCOLONisoCOLONstdCOLONisoCOLON3166_TH,Thailand | urnCOLONisoCOLONstdCOLONisoCOLON3166_TL,Timor-Leste | urnCOLONisoCOLONstdCOLONisoCOLON3166_TG,Togo | urnCOLONisoCOLONstdCOLONisoCOLON3166_TK,Tokelau | urnCOLONisoCOLONstdCOLONisoCOLON3166_TO,Tonga | urnCOLONisoCOLONstdCOLONisoCOLON3166_TT,Trinidad und Tobago | urnCOLONisoCOLONstdCOLONisoCOLON3166_TD,Tschad | urnCOLONisoCOLONstdCOLONisoCOLON3166_CZ,Tschechien | urnCOLONisoCOLONstdCOLONisoCOLON3166_TN,Tunesien | urnCOLONisoCOLONstdCOLONisoCOLON3166_TR,Türkei | urnCOLONisoCOLONstdCOLONisoCOLON3166_TM,Turkmenistan | urnCOLONisoCOLONstdCOLONisoCOLON3166_TC,Turks- und Caicosinseln | urnCOLONisoCOLONstdCOLONisoCOLON3166_TV,Tuvalu | urnCOLONisoCOLONstdCOLONisoCOLON3166_UG,Uganda | urnCOLONisoCOLONstdCOLONisoCOLON3166_UA,Ukraine | urnCOLONisoCOLONstdCOLONisoCOLON3166_HU,Ungarn | urnCOLONisoCOLONstdCOLONisoCOLON3166_UY,Uruguay | urnCOLONisoCOLONstdCOLONisoCOLON3166_UZ,Usbekistan | urnCOLONisoCOLONstdCOLONisoCOLON3166_VU,Vanuatu | urnCOLONisoCOLONstdCOLONisoCOLON3166_VA,Vatikanstadt | urnCOLONisoCOLONstdCOLONisoCOLON3166_VE,Venezuela | urnCOLONisoCOLONstdCOLONisoCOLON3166_AE,Vereinigte Arabische Emirate | urnCOLONisoCOLONstdCOLONisoCOLON3166_GB,Vereinigtes Königreich | urnCOLONisoCOLONstdCOLONisoCOLON3166_US,Vereinigte Staaten | urnCOLONisoCOLONstdCOLONisoCOLON3166_VN,Vietnam | urnCOLONisoCOLONstdCOLONisoCOLON3166_WF,Wallis und Futuna | urnCOLONisoCOLONstdCOLONisoCOLON3166_CX,Weihnachtsinsel | urnCOLONisoCOLONstdCOLONisoCOLON3166_EH,Westsahara | urnCOLONisoCOLONstdCOLONisoCOLON3166_CF,Zentralafrikanische Republik | urnCOLONisoCOLONstdCOLONisoCOLON3166_CY,Zypern",,autocomplete,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_country_9] <> """"",,RV,,,,
reiseaktivitat_state_10,anamnese_risikofaktoren,,dropdown,"<div align=""right"">Bundesland</div>","urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BW,Baden-Württemberg | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BY,Bayern | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BE,Berlin | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-BB,Brandenburg | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-HB,Bremen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-HH,Hamburg | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-HE,Hessen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-MV,Mecklenburg-Vorpommern | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-NI,Niedersachsen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-NW,Nordrhein-Westfalen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-RP,Rheinland-Pfalz | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-SL,Saarland | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-SN,Sachsen | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-ST,Sachsen-Anhalt | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-SH,Schleswig-Holstein | urnCOLONisoCOLONstdCOLONisoCOLON3166-2COLONde_DE-TH,Thüringen",,,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_country_10] = ""urnCOLONisoCOLONstdCOLONisoCOLON3166_DE""",,RV,,,,
reiseaktivitat_city_10,anamnese_risikofaktoren,,text,"<div align=""right"">Stadt</div>",,,,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_state_10] <> """"",,RV,,,,
reiseaktivitat_end_date_10,anamnese_risikofaktoren,,text,"<div align=""right"">Enddatum der Reise</div>",,DD-MM-YYYY,date_dmy,,,,"[reiseaktivitat] = ""2.16.840.1.113883.6.96_373066001"" and [reiseaktivitat_country_9] <> """"",,RV,,,,
magengeschwure_code,anamnese_risikofaktoren,Magengeschwüre,text,1.2.276.0.76.5.502_K28__2.16.840.1.113883.6.96_40845000,,,,,,,,,,,,,"@HIDDEN @DEFAULT=""1.2.276.0.76.5.502_K28__2.16.840.1.113883.6.96_40845000"""
magengeschwure,anamnese_risikofaktoren,Magengeschwüre,dropdown,Leidet der / die Patient*in an Magengeschwüren?,"2.16.840.1.113883.6.96_410605003,Ja | 2.16.840.1.113883.6.96_410594000,Nein | 2.16.840.1.113883.4.642.4.1048_unknown__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
impfungen_code,anamnese_risikofaktoren,Impfungen,text,NoCodeSystem_NoCode,,,,,,,,,,,,,"@HIDDEN @DEFAULT=""NoCodeSystem_NoCode"""
impfungen,anamnese_risikofaktoren,Impfungen,descriptive,Welche Impfung hat der / die Patient*in? Bitte Datum der Impfung angeben.,,,,,,,,,,,,,
impfungen_influenza,anamnese_risikofaktoren,,dropdown,Influenza,"2.16.840.1.113883.6.96_6142004__2.16.840.1.113883.6.96_836377006__2.16.840.1.113883.6.96_410605003,Ja | 2.16.840.1.113883.6.96_6142004__2.16.840.1.113883.6.96_836377006__2.16.840.1.113883.6.96_410594000,Nein | 2.16.840.1.113883.6.96_6142004__2.16.840.1.113883.6.96_836377006__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
impfungen_pneumokokken,anamnese_risikofaktoren,,dropdown,Pneumokokken,"2.16.840.1.113883.6.96_16814004__2.16.840.1.113883.6.96_836398006__2.16.840.1.113883.6.96_410605003,Ja | 2.16.840.1.113883.6.96_16814004__2.16.840.1.113883.6.96_836398006__2.16.840.1.113883.6.96_410594000,Nein | 2.16.840.1.113883.6.96_16814004__2.16.840.1.113883.6.96_836398006__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
impfungen_bcg,anamnese_risikofaktoren,,dropdown,Tuberkulose (Bacillus Calmette-Guérin),"2.16.840.1.113883.6.96_56717001__2.16.840.1.113883.6.96_836402002__2.16.840.1.113883.6.96_410605003,Ja | 2.16.840.1.113883.6.96_56717001__2.16.840.1.113883.6.96_836402002__2.16.840.1.113883.6.96_410594000,Nein | 2.16.840.1.113883.6.96_56717001__2.16.840.1.113883.6.96_836402002__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
impfungen_covid_19,anamnese_risikofaktoren,,dropdown,COVID-19,"2.16.840.1.113883.6.96_840539006__2.16.840.1.113883.6.96_1119349007__2.16.840.1.113883.6.96_410605003,Ja | 2.16.840.1.113883.6.96_840539006__2.16.840.1.113883.6.96_1119349007__2.16.840.1.113883.6.96_410594000,Nein | 2.16.840.1.113883.6.96_840539006__2.16.840.1.113883.6.96_1119349007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
impfungen_andere,anamnese_risikofaktoren,,dropdown,Andere,"2.16.840.1.113883.6.96_64572001__NoCodeSystem_NoCode__2.16.840.1.113883.6.96_410605003,Ja | NoCodeSystem_NoCode__2.16.840.1.113883.6.96_410594000,Nein | NoCodeSystem_NoCode__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
